geo,Country,year,Consumption Industry,Consumption Households,Consumption Transport,REN Share,REN Share Electricity,REN Share Heat-Cool,REN Share Transport,Price+Taxes,Price
LT,Lithuania,2021-01-01,1109.164,1629.694,2144.972,28.167,21.278,48.625,6.467,0.14125,0.10625
LU,Luxembourg,2021-01-01,607.148,479.175,1771.034,11.713,14.216,12.842,7.968,0.19885,0.14675
LV,Latvia,2021-01-01,894.119,1202.993,1077.062,42.112,51.399,57.383,6.436,0.1644499999999999,0.1212999999999999
MT,Malta,2021-01-01,70.032,110.244,215.149,12.631,9.649,32.606,10.516,0.13015,0.12245
NL,Netherlands,2021-01-01,13314.44,10087.558,9007.233,13.117,33.251,8.071,9.279,0.1365,0.14245
PL,Poland,2021-01-01,16274.112,22130.789,23508.374,15.604,17.167,20.978,5.674,0.1561,0.09015
PT,Portugal,2021-01-01,4531.067,3022.524,5468.095,33.982,58.433,42.681,8.611,0.21295,0.11475
RO,Romania,2021-01-01,6856.343,8764.871,6879.222,23.871,42.676,24.573,8.917,0.1568999999999999,0.1141
SE,Sweden,2021-01-01,11023.122,7878.771,6824.465,62.527,75.76,68.53,28.677,0.2359,0.15365
SI,Slovenia,2021-01-01,1294.263,1162.089,1799.603,25.0,34.976,35.216,10.642,0.16865,0.1169
SK,Slovakia,2021-01-01,3382.392,2966.314,2619.259,17.419,22.402,19.521,8.755,0.1646,0.10385
AT,Austria,2022-01-01,7463.073,7108.457,7603.753,34.057,73.64,31.819,10.751,0.23095,0.18345
BE,Belgium,2022-01-01,9943.224,7036.456,8694.924,13.831,29.505,10.425,10.472,0.3963,0.32065
BG,Bulgaria,2022-01-01,2703.532,2137.397,3468.082,19.079,20.362,31.485,7.662,0.1119999999999999,0.09335
CY,Cyprus,2022-01-01,250.728,360.543,654.346,19.427,16.963,41.56,7.228,0.2934,0.2122
CZ,Czechia,2022-01-01,6564.625,7157.766,6888.929,18.123,15.498,25.821,6.24,0.2082999999999999,0.1978
DE,Germany,2022-01-01,53008.103,57434.806,50725.775,20.829,48.041,17.391,10.07,0.3318,0.2116
DK,Denmark,2022-01-01,2268.129,3998.544,4137.566,41.368,76.708,51.4,9.976,0.5215,0.30035
EE,Estonia,2022-01-01,358.4,963.88,845.746,38.542,29.115,65.442,8.531,0.2353,0.18375
EL,Greece,2022-01-01,2565.529,4325.475,5866.033,22.671,42.361,30.622,4.083,0.2269499999999999,0.3752999999999999
ES,Spain,2022-01-01,19083.933,14016.209,32477.593,21.837,50.888,19.332,9.683,0.32105,0.27725
FI,Finland,2022-01-01,9736.046,5594.322,3848.762,47.74,47.966,58.292,18.535,0.2203999999999999,0.15705
FR,France,2022-01-01,26038.606,37920.921,45238.229,20.33,27.36,26.603,8.941,0.2148,0.1644499999999999
HR,Croatia,2022-01-01,1128.479,2286.359,2234.877,28.088,56.245,37.213,2.395,0.14165,0.1115
HU,Hungary,2022-01-01,4303.259,5821.192,5277.609,15.128,15.333,20.232,7.77,0.1016,0.07995
IE,Ireland,2022-01-01,2172.552,2615.339,4020.029,13.017,37.387,5.334,5.825,0.27745,0.3258
IS,Iceland,2022-01-01,1374.644,443.212,343.281,78.735,98.674,82.031,13.666,0.1538999999999999,0.12125
IT,Italy,2022-01-01,23871.595,29426.979,36684.754,18.826,37.102,19.901,10.048,0.3378,0.29315
LI,Liechtenstein,2022-01-01,,,,,,,,0.2259499999999999,0.19485
LT,Lithuania,2022-01-01,953.872,1558.114,2103.595,29.599,26.461,51.54,6.682,0.1963,0.1606
LU,Luxembourg,2022-01-01,542.744,454.444,1554.536,14.286,16.321,14.976,8.71,0.20295,0.16845
LV,Latvia,2022-01-01,907.175,1115.069,1022.107,43.786,53.519,60.996,3.123,0.23755,0.2113499999999999
MT,Malta,2022-01-01,72.405,117.719,251.962,14.04,10.109,40.224,10.473,0.1291,0.12145
NL,Netherlands,2022-01-01,12272.495,8201.73,8958.186,15.291,39.651,9.192,11.163,0.08785,0.26825
PL,Poland,2022-01-01,15074.146,20492.124,23856.025,16.644,21.009,22.095,5.791,0.1533999999999999,0.09575
PT,Portugal,2022-01-01,4504.165,2965.934,5793.595,34.675,60.991,45.545,8.706,0.22105,0.183
RO,Romania,2022-01-01,5739.746,7894.699,7444.576,24.229,43.726,26.251,8.924,0.28865,0.2231
SE,Sweden,2022-01-01,10954.768,7062.293,6575.3,66.287,83.372,69.81,28.841,0.2509,0.2152
SI,Slovenia,2022-01-01,1181.138,1052.349,1954.951,25.002,37.005,33.989,7.828,0.1673,0.1278
SK,Slovakia,2022-01-01,3167.959,2686.513,2659.961,17.482,22.901,19.883,8.931,0.184,0.12785
AT,Austria,2023-01-01,6788.523,7270.904,7430.987,41.6,87.899,40.77,13.576,0.27005,0.28405
BE,Belgium,2023-01-01,9477.604,6947.24,8882.42,14.673,31.368,11.211,12.177,0.4064,0.31925
BG,Bulgaria,2023-01-01,2540.266,2046.582,3527.768,23.151,29.702,36.059,8.089,0.1164999999999999,0.09705
CY,Cyprus,2023-01-01,252.856,336.459,683.163,20.213,20.939,42.75,7.285,0.35955,0.22055
CZ,Czechia,2023-01-01,5966.333,6416.158,7027.815,18.555,16.447,27.675,5.653,0.31705,0.2603
DE,Germany,2023-01-01,49687.05,52434.691,49303.809,21.512,51.945,16.909,12.257,0.40725,0.29275
DK,Denmark,2023-01-01,2135.92,4096.01,4100.048,43.728,78.975,54.503,11.133,0.3682499999999999,0.2410999999999999
EE,Estonia,2023-01-01,337.166,935.976,845.792,40.95,31.845,66.668,9.065,0.2249499999999999,0.1746
EL,Greece,2023-01-01,2463.422,3773.874,6128.632,25.269,48.225,35.547,3.942,0.2318,0.18905
